source_case,eyelid_thickness_mm,cornea_thickness_mm,indentation_mm,actual_indentation_mm,displacement_error_um,probe_force_n,probe_equivalent_pressure_kpa,probe_equivalent_pressure_mmhg,tangent_stiffness_n_per_mm,result_time
eyelid_2p00mm,2.0,0.6,0.425,0.425,0.0,0.56696464929154,38.68108131563419,290.1327711528044,1.8296314764734007,1.5588235294118
eyelid_2p00mm,2.0,0.6,0.45,0.45,0.0,0.61299466394479,41.821472417596254,313.6877065870318,1.8638794380694663,1.5882352941176
eyelid_2p00mm,2.0,0.6,0.475,0.47500000000000003,5.551115123125783e-14,0.65946565627465,44.99194915785809,337.46830348973225,1.8974777372386666,1.6176470588235
eyelid_2p00mm,2.0,0.6,0.5,0.5,0.0,0.70801554336559,48.30425819295603,362.31273302947767,1.928136185230532,1.6470588235294
eyelid_2p00mm,2.0,0.6,0.525,0.5249999999999999,-1.1102230246251565e-13,0.75656543045654,51.61656722805466,387.1571625692284,1.9435324784884647,1.6764705882353
eyelid_2p00mm,2.0,0.6,0.55,0.5499999999999999,-1.1102230246251565e-13,0.80511531754748,54.92887626315261,412.00159210897385,1.9470526925014,1.7058823529412
eyelid_2p00mm,2.0,0.6,0.575,0.575,0.0,0.85389575386603,58.25691448600783,436.96400058510847,1.9510191308258655,1.7352941176471
eyelid_2p00mm,2.0,0.6,0.6,0.6,0.0,0.90274312383131,61.58951924724449,461.9606610105196,1.9536884192325332,1.7647058823529
eyelid_2p00mm,2.0,0.6,0.625,0.625,0.0,0.95159049379659,64.92212400848116,486.9573214359308,1.955014074964398,1.7941176470588
eyelid_2p00mm,2.0,0.6,0.65,0.6499999999999999,-1.1102230246251565e-13,1.0004738405018,68.25718327760372,511.97239223536786,1.9562932479393327,1.8235294117647
eyelid_2p00mm,2.0,0.6,0.675,0.6749999999999999,-1.1102230246251565e-13,1.0494171484402,71.59633339320091,537.0181469915011,1.9573325759807347,1.8529411764706
eyelid_2p00mm,2.0,0.6,0.7,0.7,0.0,1.0983604563786,74.93548350879813,562.0639017476345,1.951960820986001,1.8823529411765
eyelid_2p00mm,2.0,0.6,0.725,0.725,0.0,1.1473037643169,78.27463362438851,587.1096565037167,1.9402698407973333,1.9117647058824
eyelid_2p00mm,2.0,0.6,0.75,0.75,0.0,1.195381347773,81.55471981221064,611.712394145082,1.9284308735173306,1.9411764705882
eyelid_2p00mm,2.0,0.6,0.775,0.7749999999999999,-1.1102230246251565e-13,1.2434367331654,84.8332915403427,636.3037723732219,1.9223634027853311,1.9705882352941
eyelid_2p00mm,2.0,0.6,0.8,0.7999999999999999,-1.1102230246251565e-13,1.2914921185577,88.11186326846797,660.8951506013109,1.9222154156919995,2.0
