case,eyelid_thickness_mm,annulus_inner_probe_radius,annulus_outer_probe_radius,sigma_factor,baseline_pa,noise_pa,threshold_pa,inner_pressure_support_area_mm2,inner_pressure_participation_area_mm2,outer_contact_area_mm2,ae_over_ac_pressure,incremental_force_n,centroid_x_mm,centroid_z_mm,selected_faces,status
eyelid_1p20mm_indent_0p28mm,1.2,1.3,1.7,4.0,701.4519042967997,272.58303207989235,1090.3321283195694,7.130111390196704,5.5953308707822105,6.8929766579018,1.2319158271579,0.03929360213731104,-0.030528465401706666,-0.0008303858622035326,411,candidate_not_approved
eyelid_1p25mm_indent_0p28mm,1.25,1.1,1.5,2.0,293.2249755859,370.72287519526316,741.4457503905263,8.409434993694724,6.158525896750906,7.0039378061715,1.1372750433454561,0.04261858300837389,-0.026749589220942154,-0.0012906820082029364,476,candidate_not_approved
eyelid_1p25mm_indent_0p28mm,1.25,1.1,1.5,3.0,293.2249755859,370.72287519526316,1112.1686255857894,7.9240582122608245,6.037508443395343,7.0039378061715,1.1600708921299099,0.04216740695180795,-0.028528602184123213,-0.00023214894604392164,453,candidate_not_approved
eyelid_1p25mm_indent_0p28mm,1.25,1.1,1.5,4.0,293.2249755859,370.72287519526316,1482.8915007810526,7.172131327060066,5.791760743917857,7.0039378061715,1.209293359282252,0.04121485181024156,-0.029489550064270918,-0.00047327198085211143,413,candidate_not_approved
eyelid_1p25mm_indent_0p28mm,1.25,1.2,1.6,2.0,498.35156249994986,310.202287756264,620.404575512528,8.335957634386652,6.00812727038322,7.0039378061715,1.1657439150294104,0.04085248466348798,-0.028170026421446667,-0.0005540678079244311,473,candidate_not_approved
eyelid_1p25mm_indent_0p28mm,1.25,1.2,1.6,3.0,498.35156249994986,310.202287756264,930.606863268792,7.842682793857129,5.901715937537801,7.0039378061715,1.1867629483186455,0.04046678166231466,-0.028710643139401214,0.0001740332222343696,449,candidate_not_approved
eyelid_1p25mm_indent_0p28mm,1.25,1.2,1.6,4.0,498.35156249994986,310.202287756264,1240.809151025056,7.25548675006848,5.73646426679309,7.0039378061715,1.2209503067447813,0.03984904693110873,-0.02700288585114272,-0.0009304623548887027,417,candidate_not_approved
eyelid_1p25mm_indent_0p28mm,1.25,1.3,1.7,2.0,704.1287027994001,282.2038247312784,564.4076494625568,8.18414391545729,5.841645954369446,7.0039378061715,1.1989665003461363,0.03906847061073545,-0.028306796849900947,5.750940336110762e-05,467,candidate_not_approved
eyelid_1p25mm_indent_0p28mm,1.25,1.3,1.7,3.0,704.1287027994001,282.2038247312784,846.6114741938352,7.51255659015015,5.7096067076108294,7.0039378061715,1.2266935648711748,0.0385999204473624,-0.029141986653110116,0.0006405056716130761,432,candidate_not_approved
eyelid_1p25mm_indent_0p28mm,1.25,1.3,1.7,4.0,704.1287027994001,282.2038247312784,1128.8152989251137,7.139687061119553,5.609340140231025,7.0039378061715,1.2486206275740372,0.03823285769239545,-0.029567030052749143,-0.00034437842580286535,411,candidate_not_approved
eyelid_1p40mm_indent_0p28mm,1.4,1.1,1.5,2.0,260.69759114580006,371.22346987288626,742.4469397457725,8.525224595601344,6.318670917444868,7.3414286072548,1.16186278778758,0.03977228086665711,-0.027465465590478983,-0.0015403156405516783,481,candidate_not_approved
eyelid_1p40mm_indent_0p28mm,1.4,1.1,1.5,3.0,260.69759114580006,371.22346987288626,1113.6704096186588,8.00010689161468,6.170190151620649,7.3414286072548,1.1898221005922347,0.039263035787043134,-0.0287625903057724,0.0008440048335513076,458,candidate_not_approved
eyelid_1p40mm_indent_0p28mm,1.4,1.1,1.5,4.0,260.69759114580006,371.22346987288626,1484.893879491545,7.226823385053652,5.890999383121714,7.3414286072548,1.2462110636590298,0.03826456772467994,-0.02939805778465798,-0.00017255133093851981,416,candidate_not_approved
