case,eyelid_thickness_mm,surface,radius_start_mm,radius_end_mm,radius_center_mm,face_count,raw_downward_median_um,local_downward_p10_um,local_downward_median_um,local_downward_p90_um,above_threshold_fraction,threshold_um
eyelid_1p00mm_indent_0p28mm,1.0,inner,3.3,3.4499999999999997,3.375,114,48.67306277991999,44.62394251371935,48.081091868253075,50.890523744147764,1.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,3.4499999999999997,3.5999999999999996,3.5249999999999995,106,40.25176475324667,35.57358603636153,39.659793841579756,41.363684666299825,1.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,3.5999999999999996,3.75,3.675,126,32.70621503783006,27.88741208857809,32.11424412616316,34.27074730516803,1.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,3.75,3.9,3.825,125,24.36057299174657,21.634709327275754,23.76860208007966,27.02887764675576,1.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,3.9,4.05,3.9749999999999996,114,17.968866086898313,16.196617427198696,17.376895175231404,20.6685416087067,1.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,4.05,4.2,4.125,120,13.443335845383324,11.108254520009838,12.851364933716415,14.799478974853029,1.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,4.2,4.35,4.275,114,9.415587518633384,7.464997241266492,8.823616606966475,9.412008435666538,1.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,4.35,4.5,4.425,121,6.014365807900179,3.765422339166435,5.42239489623327,6.26981612369959,0.6942148760330579,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,4.5,4.6499999999999995,4.574999999999999,144,3.0819434476833054,1.5213866632831283,2.489972536016396,3.5538126818231586,0.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,4.6499999999999995,4.8,4.725,119,0.8933692471663375,0.0,0.3013983354994282,0.9375970435864751,0.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,4.8,4.95,4.875,123,-0.3850550657996752,0.0,0.0,0.0,0.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,4.95,5.1,5.025,148,-1.0244184058167978,0.0,0.0,0.0,0.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,5.1,5.25,5.175,164,-0.9340787279333131,0.0,0.0,0.0,0.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,5.25,5.3999999999999995,5.324999999999999,216,-0.29258207309983303,0.0,0.0,0.0,0.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,5.3999999999999995,5.55,5.475,152,0.3161972187161726,0.0,0.0,0.0,0.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,5.55,5.7,5.625,209,0.7647892234664139,0.0,0.17281831179950458,0.40110707352587416,0.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,5.7,5.85,5.775,167,1.1351924452665183,0.39377983982649,0.543221533599609,0.6419157843062101,0.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,5.85,6.0,5.925,260,1.8373102674167692,1.1145588520694585,1.24533935574986,1.6046281389897086,0.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,6.0,6.1499999999999995,6.074999999999999,208,3.884859907300319,3.226518523863093,3.29288899563341,4.560084500289993,0.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,outer,0.15,0.3,0.22499999999999998,8,321.93190772830155,314.8464470755612,314.85459788930154,314.90272690616354,1.0,18.49538457047343
eyelid_1p00mm_indent_0p28mm,1.0,outer,0.3,0.44999999999999996,0.375,16,318.0950638625966,309.11497708540173,311.0177540235966,312.82503593346325,1.0,18.49538457047343
eyelid_1p00mm_indent_0p28mm,1.0,outer,0.44999999999999996,0.6,0.5249999999999999,28,311.72415827980836,300.85275966108645,304.64684844080836,307.91013858369973,1.0,18.49538457047343
eyelid_1p00mm_indent_0p28mm,1.0,outer,0.6,0.75,0.675,33,300.12124787784336,290.2915147785647,293.04393803884335,299.7124123152332,1.0,18.49538457047343
eyelid_1p00mm_indent_0p28mm,1.0,outer,0.75,0.8999999999999999,0.825,44,287.21033219049,275.67044804338775,280.13302235149,286.08095709168884,1.0,18.49538457047343
