record_type,source_file,case_id,state,eyelid_thickness_mm,cornea_thickness_mm,p_iop_mmhg,p_iop_pa,p_probe_delta_mmhg,p_probe_delta_pa,p_probe_absolute_mmhg,probe_force_n,probe_force_delta_n,probe_displacement_mm,eyelid_modulus_scale,cornea_modulus_scale,corneal_radius_mm,probe_area_mm2,corneal_applanation_area_mm2,contact_force_n,eyelid_displacement_mm,corneal_displacement_mm,tangent_stiffness_n_per_mm,source_status,assumption_note
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,sensitivity_0p28_iop_55.0,sensitivity_0p28,1.25,0.6,55.0,7332.71,11.178791699087824,1490.378866905787,,0.18375925799425,0.02184516145598,0.2799999999999999,,,7.8,14.65741468458854,4.673089287408449,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,sensitivity_0p28_iop_57.5,sensitivity_0p28,1.25,0.6,57.5,7666.015,11.421125076760132,1522.6872374838144,,0.18423281648822,0.02231871994995,0.2799999999999999,,,7.8,14.65741468458854,4.6363445402356405,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,sensitivity_0p28_iop_60.0,sensitivity_0p28,1.25,0.6,60.0,7999.32,11.660791211626911,1554.640005916523,,0.18470116275968,0.0227870662214099,0.2799999999999999,,,7.8,14.65741468458854,4.640737449307484,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
thickness_pressure_endpoint,thick/experiments/geometric_observable_5deg/iop_from_material_baseline/iop_from_kgeo_material_baseline_full9.csv,h0.8_iop0,sensitivity_0p28,0.8,0.6,0.0,0.0,0.0,0.0,51.79396006087526,0.10121346955966,0.0,0.28,1.0,0.75,7.8,14.65741468458854,,,,,,validated,independent zero-IOP FE baseline
thickness_pressure_endpoint,thick/experiments/geometric_observable_5deg/iop_from_material_baseline/iop_from_kgeo_material_baseline_full9.csv,h0.8_iop20.0,sensitivity_0p28,0.8,0.6,20.0,2666.44,7.05118685369504,940.0783337083302,58.8451469145703,0.11499258753282,0.01377911797316,0.28,1.0,0.75,7.8,14.65741468458854,6.225387142968553,,,,,validated,20-mmHg FE endpoint paired with independent zero baseline
thickness_pressure_endpoint,thick/experiments/geometric_observable_5deg/iop_from_material_baseline/iop_from_kgeo_material_baseline_full9.csv,h1.0_iop0,sensitivity_0p28,1.0,0.6,0.0,0.0,0.0,0.0,65.28842591461218,0.12758375882323,0.0,0.28,1.0,0.75,7.8,14.65741468458854,,,,,,validated,independent zero-IOP FE baseline
thickness_pressure_endpoint,thick/experiments/geometric_observable_5deg/iop_from_material_baseline/iop_from_kgeo_material_baseline_full9.csv,h1.0_iop20.0,sensitivity_0p28,1.0,0.6,20.0,2666.44,6.977406594681869,930.2418020161762,72.26583250929404,0.14121869867232,0.01363493984909,0.28,1.0,0.75,7.8,14.65741468458854,5.937382417836331,,,,,validated,20-mmHg FE endpoint paired with independent zero baseline
thickness_pressure_endpoint,thick/experiments/geometric_observable_5deg/iop_from_material_baseline/iop_from_kgeo_material_baseline_full9.csv,h1.2_iop0,sensitivity_0p28,1.2,0.6,0.0,0.0,0.0,0.0,79.36448768946224,0.1550905771529,0.0,0.28,1.0,0.75,7.8,14.65741468458854,,,,,,validated,independent zero-IOP FE baseline
thickness_pressure_endpoint,thick/experiments/geometric_observable_5deg/iop_from_material_baseline/iop_from_kgeo_material_baseline_full9.csv,h1.2_iop20.0,sensitivity_0p28,1.2,0.6,20.0,2666.44,7.069906055685171,942.5740151560583,86.4343937451474,0.16890627536396,0.0138156982110599,0.28,1.0,0.75,7.8,14.65741468458854,5.411004803295312,,,,,validated,20-mmHg FE endpoint paired with independent zero baseline
thickness_pressure_endpoint,thick/experiments/geometric_observable_5deg/iop_from_material_baseline/iop_from_kgeo_material_baseline_full9.csv,h1.25_iop0,sensitivity_0p28,1.25,0.6,0.0,0.0,0.0,0.0,82.85628666682999,0.16191409651865,0.0,0.28,1.0,0.75,7.8,14.65741468458854,,,,,,validated,independent zero-IOP FE baseline
thickness_pressure_endpoint,thick/experiments/geometric_observable_5deg/iop_from_material_baseline/iop_from_kgeo_material_baseline_full9.csv,h1.25_iop20.0,sensitivity_0p28,1.25,0.6,20.0,2666.44,7.072211426411742,942.8813717920663,89.92849809324173,0.17573429978338,0.01382020326473,0.28,1.0,0.75,7.8,14.65741468458854,5.344842004794155,,,,,validated,20-mmHg FE endpoint paired with independent zero baseline
thickness_pressure_endpoint,thick/experiments/geometric_observable_5deg/iop_from_material_baseline/iop_from_kgeo_material_baseline_full9.csv,h1.4_iop0,sensitivity_0p28,1.4,0.6,0.0,0.0,0.0,0.0,93.19453243707376,0.18211663987191,0.0,0.28,1.0,0.75,7.8,14.65741468458854,,,,,,validated,independent zero-IOP FE baseline
thickness_pressure_endpoint,thick/experiments/geometric_observable_5deg/iop_from_material_baseline/iop_from_kgeo_material_baseline_full9.csv,h1.4_iop20.0,sensitivity_0p28,1.4,0.6,20.0,2666.44,7.175950310056729,956.7120472373832,100.37048274713048,0.19613956508201,0.0140229252100999,0.28,1.0,0.75,7.8,14.65741468458854,5.039474393844641,,,,,validated,20-mmHg FE endpoint paired with independent zero baseline
thickness_pressure_endpoint,thick/experiments/geometric_observable_5deg/iop_from_material_baseline/iop_from_kgeo_material_baseline_full9.csv,h1.5_iop0,sensitivity_0p28,1.5,0.6,0.0,0.0,0.0,0.0,100.14280351087864,0.19569464437271,0.0,0.28,1.0,0.75,7.8,14.65741468458854,,,,,,validated,independent zero-IOP FE baseline
thickness_pressure_endpoint,thick/experiments/geometric_observable_5deg/iop_from_material_baseline/iop_from_kgeo_material_baseline_full9.csv,h1.5_iop20.0,sensitivity_0p28,1.5,0.6,20.0,2666.44,7.22844166045979,963.7102990558202,107.37124517133844,0.20982014586178,0.0141255014890699,0.28,1.0,0.75,7.8,14.65741468458854,4.834328097805413,,,,,validated,20-mmHg FE endpoint paired with independent zero baseline
