bootstrap_id,c_n_per_mm_per_mm_power,exponent_m_for_k_proportional_h_to_m,n_for_k_proportional_h_to_minus_n
377,0.8330416455479408,0.9897142708147946,-0.9897142708147946
378,0.8328507084951704,0.988709123965987,-0.988709123965987
379,0.8328617626819875,0.9895383477051733,-0.9895383477051733
380,0.8345509796430283,0.984167934913646,-0.984167934913646
381,0.828833218048557,1.0015224353871206,-1.0015224353871206
382,0.8303681198233133,0.9971115016823856,-0.9971115016823856
383,0.8313263123530037,0.9904675546186055,-0.9904675546186055
384,0.8313654942869672,0.9899247671152296,-0.9899247671152296
385,0.8323688614187248,0.9888480533070507,-0.9888480533070507
386,0.8301376917505664,0.9978039794790483,-0.9978039794790483
387,0.8358846168276595,0.9816088447406803,-0.9816088447406803
388,0.8286568281517487,1.0074086691283006,-1.0074086691283006
389,0.8314320592887262,0.9932187638747023,-0.9932187638747023
390,0.8293138084611303,0.9987979772259789,-0.9987979772259789
391,0.8306898153692649,0.9955906050440861,-0.9955906050440861
392,0.8345725222422838,0.9855452162252695,-0.9855452162252695
393,0.8291572803887959,1.0041897219646327,-1.0041897219646327
394,0.8314664395548859,0.9962367067375082,-0.9962367067375082
395,0.8327589518183529,0.990277132415651,-0.990277132415651
396,0.832646895795125,0.9904183069110128,-0.9904183069110128
397,0.8304288429842073,0.9980668628622946,-0.9980668628622946
398,0.8328282848157395,0.9919580516546103,-0.9919580516546103
399,0.8328311389399313,0.9902263145849921,-0.9902263145849921
400,0.8324852685894187,0.9890545989104853,-0.9890545989104853
401,0.8326468957951247,0.9904183069110132,-0.9904183069110132
402,0.831849089231067,0.9926105534718525,-0.9926105534718525
403,0.8328277635751459,0.9890968620232535,-0.9890968620232535
404,0.8325770945405786,0.9904138886595588,-0.9904138886595588
405,0.8306898153692649,0.9955906050440863,-0.9955906050440863
406,0.8294126778550975,1.0046822849599748,-1.0046822849599748
407,0.8324852685894185,0.9890545989104853,-0.9890545989104853
408,0.8334678843251047,0.9861534383111197,-0.9861534383111197
409,0.8325625223368055,0.9896860475585585,-0.9896860475585585
410,0.8326054260585386,0.9899628620358255,-0.9899628620358255
411,0.8308583089294346,0.9912525250998683,-0.9912525250998683
412,0.8329307860429019,0.9884565378331156,-0.9884565378331156
413,0.831328295064636,0.9921851656599336,-0.9921851656599336
414,0.8326408834433644,0.9898280757675308,-0.9898280757675308
415,0.8307544616251047,0.9918534790353287,-0.9918534790353287
416,0.8328167899205045,0.9904980744140837,-0.9904980744140837
417,0.8291169367560672,0.9979078876692627,-0.9979078876692627
418,0.831325832220049,0.9917784874477542,-0.9917784874477542
419,0.8311672329408138,0.9913262952455729,-0.9913262952455729
420,0.8323968351511234,0.9893321207232154,-0.9893321207232154
421,0.8307426201905521,0.9914317436881328,-0.9914317436881328
422,0.8306781094372749,0.9929785898390738,-0.9929785898390738
423,0.8293442241343429,0.9954112388405751,-0.9954112388405751
424,0.8338770627568886,0.986130140264463,-0.986130140264463
425,0.8306117807337566,0.996031844327759,-0.996031844327759
426,0.8328225012190155,0.9912299129064772,-0.9912299129064772
