source_id,pair_id,treatment,source_ogden_mu_mpa,source_ogden_alpha,fit_range,fit_end_strain,strategy,c10_mpa,c01_mpa,c01_over_c10,c10_over_current_model,equivalent_base_material_scale,mr_small_strain_e_mpa,ogden_small_strain_e_mpa,rmse_mpa,nrmse_span_percent,r_squared,max_abs_error_mpa,stability_flag,parameter_use
PORCINE_DRYAD_2020,5,control_PBS,0.0082,57.65,strain_0_to_0p03,0.03,mr_free_unconstrained,0.16639557,-0.16337383,-0.98184006,2.016916,1.512687,0.018130401,0.0246,1.437441e-05,0.99669778,0.99875603,4.1360508e-05,conditional_negative_c01,reject_if_not_positive_stable
PORCINE_DRYAD_2020,5,control_PBS,0.0082,57.65,stress_0_to_0p03mpa,0.084174897,mr_free_nonnegative,0.03068571,0,0,0.37194799,0.278961,0.18411426,0.0246,0.0044696746,14.898915,0.65964053,0.01446844,boundary_c01_zero,diagnostic_boundary_solution
PORCINE_DRYAD_2020,5,control_PBS,0.0082,57.65,stress_0_to_0p03mpa,0.084174897,mr_fixed_current_ratio,0.025248081,0.0057382002,0.22727273,0.30603735,0.22952801,0.18591769,0.0246,0.0044926971,14.975657,0.65612523,0.014541802,positive_coefficients,bounded_screening_approximation
PORCINE_DRYAD_2020,5,control_PBS,0.0082,57.65,stress_0_to_0p03mpa,0.084174897,mr_small_strain_conversion,0.0033407407,0.00075925926,0.22727273,0.040493827,0.03037037,0.0246,0.0246,0.0089758327,29.919442,-0.37257321,0.027954623,positive_coefficients,initial_tangent_only
PORCINE_DRYAD_2020,5,control_PBS,0.0082,57.65,stress_0_to_0p03mpa,0.084174897,mr_free_unconstrained,0.95134798,-0.97866447,-1.0287135,11.531491,8.648618,-0.16389899,0.0246,0.0015636919,5.2123063,0.95834296,0.0053674138,invalid_negative_initial_stiffness,reject_if_not_positive_stable
PORCINE_DRYAD_2020,5,CXL,0.0088,90.42,strain_0_to_0p03,0.03,mr_free_nonnegative,0.010836232,0,0,0.13134827,0.098511204,0.065017395,0.0264,0.00028958214,10.464941,0.85453522,0.0008160745,boundary_c01_zero,diagnostic_boundary_solution
PORCINE_DRYAD_2020,5,CXL,0.0088,90.42,strain_0_to_0p03,0.03,mr_fixed_current_ratio,0.0088633369,0.0020143947,0.22727273,0.10743439,0.08057579,0.06526639,0.0264,0.00029072625,10.506287,0.85338351,0.00081916646,positive_coefficients,bounded_screening_approximation
PORCINE_DRYAD_2020,5,CXL,0.0088,90.42,strain_0_to_0p03,0.03,mr_small_strain_conversion,0.0035851852,0.00081481481,0.22727273,0.04345679,0.032592593,0.0264,0.0264,0.00073138381,26.430804,0.072091828,0.0019792069,positive_coefficients,initial_tangent_only
PORCINE_DRYAD_2020,5,CXL,0.0088,90.42,strain_0_to_0p03,0.03,mr_free_unconstrained,0.48587616,-0.48573072,-0.99970066,5.889408,4.417056,0.00087264829,0.0264,6.3136922e-05,2.2816469,0.99308518,0.00019368628,conditional_negative_c01,reject_if_not_positive_stable
PORCINE_DRYAD_2020,5,CXL,0.0088,90.42,stress_0_to_0p03mpa,0.057302579,mr_free_nonnegative,0.042383655,0,0,0.51374128,0.38530596,0.25430193,0.0264,0.0046136184,15.378728,0.62330195,0.015412758,boundary_c01_zero,diagnostic_boundary_solution
PORCINE_DRYAD_2020,5,CXL,0.0088,90.42,stress_0_to_0p03mpa,0.057302579,mr_fixed_current_ratio,0.034765954,0.0079013532,0.22727273,0.4214055,0.31605413,0.25600384,0.0264,0.00462867,15.4289,0.62084004,0.015462518,positive_coefficients,bounded_screening_approximation
PORCINE_DRYAD_2020,5,CXL,0.0088,90.42,stress_0_to_0p03mpa,0.057302579,mr_small_strain_conversion,0.0035851852,0.00081481481,0.22727273,0.04345679,0.032592593,0.0264,0.0264,0.008855279,29.517597,-0.38776052,0.028500845,positive_coefficients,initial_tangent_only
PORCINE_DRYAD_2020,5,CXL,0.0088,90.42,stress_0_to_0p03mpa,0.057302579,mr_free_unconstrained,2.0459105,-2.0895479,-1.0213291,24.798915,18.599186,-0.26182492,0.0264,0.0017131657,5.7105522,0.94805919,0.0060423508,invalid_negative_initial_stiffness,reject_if_not_positive_stable
PORCINE_DRYAD_2020,6,control_PBS,0.0096,53.1,strain_0_to_0p03,0.03,mr_free_nonnegative,0.0073634956,0,0,0.089254492,0.066940869,0.044180973,0.0288,9.5572212e-05,6.0785197,0.95404847,0.00024647893,boundary_c01_zero,diagnostic_boundary_solution
PORCINE_DRYAD_2020,6,control_PBS,0.0096,53.1,strain_0_to_0p03,0.03,mr_fixed_current_ratio,0.0060236596,0.0013690135,0.22727273,0.073014055,0.054760541,0.044356039,0.0288,9.6361059e-05,6.1286915,0.95328677,0.00024840488,positive_coefficients,bounded_screening_approximation
PORCINE_DRYAD_2020,6,control_PBS,0.0096,53.1,strain_0_to_0p03,0.03,mr_small_strain_conversion,0.0039111111,0.00088888889,0.22727273,0.047407407,0.035555556,0.0288,0.0288,0.00028537252,18.150072,0.59030466,0.00071270407,positive_coefficients,initial_tangent_only
PORCINE_DRYAD_2020,6,control_PBS,0.0096,53.1,strain_0_to_0p03,0.03,mr_free_unconstrained,0.16643312,-0.1626495,-0.97726638,2.0173712,1.5130284,0.022701766,0.0288,1.3349396e-05,0.84903931,0.99910348,3.8068942e-05,conditional_negative_c01,reject_if_not_positive_stable
PORCINE_DRYAD_2020,6,control_PBS,0.0096,53.1,stress_0_to_0p03mpa,0.086797319,mr_free_nonnegative,0.030869332,0,0,0.37417372,0.28063029,0.18521599,0.0288,0.0043656988,14.552329,0.68183922,0.013886601,boundary_c01_zero,diagnostic_boundary_solution
PORCINE_DRYAD_2020,6,control_PBS,0.0096,53.1,stress_0_to_0p03mpa,0.086797319,mr_fixed_current_ratio,0.025408239,0.0057745998,0.22727273,0.30797866,0.23098399,0.18709703,0.0288,0.0043903926,14.634642,0.67822979,0.01396369,positive_coefficients,bounded_screening_approximation
PORCINE_DRYAD_2020,6,control_PBS,0.0096,53.1,stress_0_to_0p03mpa,0.086797319,mr_small_strain_conversion,0.0039111111,0.00088888889,0.22727273,0.047407407,0.035555556,0.0288,0.0288,0.0090036601,30.0122,-0.35324769,0.027531518,positive_coefficients,initial_tangent_only
PORCINE_DRYAD_2020,6,control_PBS,0.0096,53.1,stress_0_to_0p03mpa,0.086797319,mr_free_unconstrained,0.88253621,-0.90698831,-1.0277066,10.697409,8.0230565,-0.1467126,0.0288,0.0014640479,4.8801595,0.96421923,0.0049525804,invalid_negative_initial_stiffness,reject_if_not_positive_stable
PORCINE_DRYAD_2020,6,CXL,0.0085,84.4,strain_0_to_0p03,0.03,mr_free_nonnegative,0.0096164765,0,0,0.11656335,0.087422513,0.057698859,0.0255,0.00023451071,9.8403962,0.87290464,0.00065167304,boundary_c01_zero,diagnostic_boundary_solution
