source_id,cycle,age_year,strain,stress_mpa,tangent_modulus_mpa,coefficient_a_mpa,coefficient_b
AGE_INFLATION_2010,first_loading,70,0.012,0.0032817116,0.45201822,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0125,0.0035130088,0.47333458,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.013,0.0037552137,0.49565617,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0135,0.0040088404,0.51903042,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.014,0.0042744278,0.54350695,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0145,0.0045525398,0.56913774,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.015,0.004843767,0.59597724,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0155,0.0051487279,0.62408245,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.016,0.0054680703,0.65351304,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0165,0.0058024723,0.68433152,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.017,0.006152644,0.71660335,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0175,0.0065193293,0.75039706,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.018,0.0069033067,0.78578442,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0185,0.0073053918,0.82284059,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.019,0.0077264385,0.86164425,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0195,0.008167341,0.90227783,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.02,0.0086290357,0.94482761,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0205,0.009112503,0.98938396,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.021,0.0096187698,1.0360415,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0215,0.010148911,1.0848993,0.001623,92.16
